config,truth_source,pmid,drugs_recall,drugs_total_truth,drugs_fn,diseases_recall,diseases_total_truth,diseases_fn,pairs_recall,pairs_total_truth,pairs_fn
03_add_drug_dose,pubtator,8165073,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,8634919,1.0,1,0,1.0,1,0,1.0,1,0
03_add_drug_dose,pubtator,9866667,1.0,1,0,0.5,2,1,0.5,2,1
03_add_drug_dose,pubtator,12453952,1.0,1,0,1.0,1,0,1.0,1,0
03_add_drug_dose,pubtator,12851021,,0,0,,0,0,,0,0
03_add_drug_dose,pubtator,15468607,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,17097398,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,17580026,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,19169140,0.5,2,1,0.0,1,1,0.0,2,2
03_add_drug_dose,pubtator,19342023,1.0,1,0,1.0,1,0,1.0,1,0
03_add_drug_dose,pubtator,21075537,1.0,2,0,0.0,2,2,0.0,4,4
03_add_drug_dose,pubtator,22915486,1.0,1,0,0.5,2,1,0.5,2,1
03_add_drug_dose,pubtator,23082133,1.0,2,0,0.6666666666666666,3,1,0.6,5,2
03_add_drug_dose,pubtator,23223108,1.0,1,0,0.5,2,1,0.5,2,1
03_add_drug_dose,pubtator,23269105,1.0,1,0,0.5,2,1,0.5,2,1
03_add_drug_dose,pubtator,23497779,1.0,1,0,0.5,2,1,0.0,2,2
03_add_drug_dose,pubtator,23570952,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,23886594,,0,0,,0,0,,0,0
03_add_drug_dose,pubtator,24506965,1.0,1,0,0.5,2,1,0.5,2,1
03_add_drug_dose,pubtator,25297016,,0,0,,0,0,,0,0
03_add_drug_dose,pubtator,25987260,,0,0,,0,0,,0,0
03_add_drug_dose,pubtator,26123629,1.0,1,0,0.25,4,3,0.25,4,3
03_add_drug_dose,pubtator,26550813,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,26572055,1.0,1,0,0.25,4,3,0.25,4,3
03_add_drug_dose,pubtator,27367818,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,27761000,1.0,2,0,1.0,1,0,1.0,2,0
03_add_drug_dose,pubtator,28416195,1.0,1,0,0.75,4,1,0.25,4,3
03_add_drug_dose,pubtator,28838583,,0,0,,0,0,,0,0
03_add_drug_dose,pubtator,29402860,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,29622037,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,29692607,1.0,1,0,1.0,1,0,1.0,1,0
03_add_drug_dose,pubtator,30002098,0.5,2,1,0.0,2,2,0.0,3,3
03_add_drug_dose,pubtator,30318492,1.0,1,0,0.6666666666666666,3,1,0.6666666666666666,3,1
03_add_drug_dose,pubtator,30326006,1.0,2,0,0.0,1,1,0.0,2,2
03_add_drug_dose,pubtator,31230222,1.0,1,0,0.5,2,1,0.5,2,1
03_add_drug_dose,pubtator,31435774,,0,0,,0,0,,0,0
03_add_drug_dose,pubtator,31638682,1.0,1,0,1.0,1,0,1.0,1,0
03_add_drug_dose,pubtator,31642607,1.0,1,0,1.0,1,0,1.0,1,0
03_add_drug_dose,pubtator,32629738,1.0,1,0,0.5,2,1,0.5,2,1
03_add_drug_dose,pubtator,33412422,1.0,1,0,0.6666666666666666,3,1,0.6666666666666666,3,1
03_add_drug_dose,pubtator,34133820,1.0,2,0,0.5,2,1,0.5,4,2
03_add_drug_dose,pubtator,34218802,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,34453525,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,34559090,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,34793552,1.0,4,0,1.0,2,0,0.5,4,2
03_add_drug_dose,pubtator,35103836,1.0,2,0,1.0,1,0,0.5,2,1
03_add_drug_dose,pubtator,35259978,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,35766202,0.0,1,1,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,35867273,1.0,1,0,0.3333333333333333,3,2,0.3333333333333333,3,2
03_add_drug_dose,pubtator,35905573,0.0,1,1,0.3333333333333333,3,2,0.0,3,3
03_add_drug_dose,pubtator,35987681,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,36173235,0.5,2,1,1.0,1,0,0.5,2,1
03_add_drug_dose,pubtator,36173344,0.5,2,1,0.5,2,1,0.25,4,3
03_add_drug_dose,pubtator,36471429,1.0,1,0,0.5,2,1,0.5,2,1
03_add_drug_dose,pubtator,36477458,1.0,1,0,0.75,4,1,0.75,4,1
03_add_drug_dose,pubtator,36561129,0.5,2,1,1.0,1,0,0.0,2,2
03_add_drug_dose,pubtator,36680313,,0,0,,0,0,,0,0
03_add_drug_dose,pubtator,36707080,1.0,1,0,1.0,1,0,1.0,1,0
03_add_drug_dose,pubtator,36942908,0.5,2,1,1.0,3,0,0.75,4,1
03_add_drug_dose,pubtator,37138225,1.0,2,0,0.5,2,1,0.6666666666666666,3,1
03_add_drug_dose,pubtator,37155629,,0,0,,0,0,,0,0
03_add_drug_dose,pubtator,37210743,1.0,1,0,1.0,2,0,0.0,2,2
03_add_drug_dose,pubtator,37272079,1.0,1,0,1.0,1,0,1.0,1,0
03_add_drug_dose,pubtator,37395974,1.0,4,0,1.0,2,0,0.42857142857142855,7,4
03_add_drug_dose,pubtator,37403525,,0,0,,0,0,,0,0
03_add_drug_dose,pubtator,37526038,,0,0,,0,0,,0,0
03_add_drug_dose,pubtator,39586374,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,39601808,1.0,1,0,0.3333333333333333,3,2,0.3333333333333333,3,2
03_add_drug_dose,pubtator,40037214,1.0,2,0,0.5,2,1,0.5,4,2
03_add_drug_dose,pubtator,40043888,1.0,2,0,0.5,2,1,0.5,4,2
03_add_drug_dose,pubtator,40086910,,0,0,,0,0,,0,0
03_add_drug_dose,pubtator,40637301,1.0,1,0,1.0,1,0,1.0,1,0
03_add_drug_dose,pubtator,40813667,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,40877788,1.0,1,0,1.0,1,0,0.0,1,1
03_add_drug_dose,pubtator,40945498,0.5,2,1,0.5,2,1,0.25,4,3
03_add_drug_dose,pubtator,6341623,1.0,1,0,1.0,1,0,1.0,1,0
03_add_drug_dose,pubtator,6462734,,0,0,,0,0,,0,0
03_add_drug_dose,pubtator,10572343,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,11590486,1.0,1,0,1.0,1,0,1.0,1,0
03_add_drug_dose,pubtator,12145220,1.0,1,0,0.0,1,1,0.0,1,1
03_add_drug_dose,pubtator,12453948,1.0,1,0,1.0,1,0,1.0,1,0
03_add_drug_dose,pubtator,17577112,1.0,1,0,1.0,1,0,1.0,1,0
